"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2023ejlg","2023-03-04T02:03:26.722761Z","1.787241459","99.12943268","2.895061841","MLv","10","13","60.95739746","Northern Sumatra, Indonesia","BMKG"
"2","bmg2023ejjl","2023-03-04T01:07:55.240395Z","-3.179911137","121.4645615","2.770212275","MLv","34","13","103.9889984","Sulawesi, Indonesia","BMKG"
"3","bmg2023eiys","2023-03-03T19:42:43.793574Z","-8.607010841","108.538269","2.833018086","MLv","10","10","274.921814","Java, Indonesia","BMKG"
"4","bmg2023eixe","2023-03-03T18:56:20.965755Z","0.8951755762","121.3512344","2.629482466","M","10","11","195.6300507","Minahassa Peninsula, Sulawesi","BMKG"
"5","bmg2023eiss","2023-03-03T16:41:03.094344Z","-8.308716774","111.4567871","2.283348483","M","111","12","190.9688416","Java, Indonesia","BMKG"
"6","bmg2023eiqx","2023-03-03T15:45:46.733739Z","-1.551878691","120.1085663","2.014646956","M","10","6","151.7218628","Sulawesi, Indonesia","BMKG"
"7","bmg2023eiqh","2023-03-03T15:27:57.702693Z","-2.619902372","101.7735138","2.572585471","M","10","10","146.7842102","Southern Sumatra, Indonesia","BMKG"
"8","bmg2023eiqa","2023-03-03T15:19:51.309738Z","-8.183940887","119.9214249","2.777822013","MLv","184","22","112.5079737","Flores Region, Indonesia","BMKG"
"9","bmg2023eipb","2023-03-03T14:49:57.804848Z","-10.82106686","113.3963699","4.603185385","M","32","53","239.2687912","South of Java, Indonesia","BMKG"
"10","bmg2023eiol","2023-03-03T14:31:20.792772Z","1.190744638","125.8248444","3.365393035","M","15","9","111.7268829","Northern Molucca Sea","BMKG"
"11","bmg2023eiog","2023-03-03T14:25:17.006262Z","-1.984893084","140.6368713","3.043021098","M","10","6","314.8854523","West Papua Region, Indonesia","BMKG"
"12","bmg2023eimf","2023-03-03T13:24:29.97074Z","-0.4032449722","123.0293274","4.908408953","M","53","83","34.25508714","Minahassa Peninsula, Sulawesi","BMKG"
"13","bmg2023eilo","2023-03-03T13:03:57.345741Z","0.2949084938","98.57728577","3.023779157","M","11","10","123.0810165","Northern Sumatra, Indonesia","BMKG"
"14","bmg2023eikg","2023-03-03T12:24:21.652791Z","-2.720978498","140.9920502","3.819661527","MLv","10","13","246.0935974","Near North Coast of West Papua","BMKG"
"15","bmg2023eijv","2023-03-03T12:11:24.623096Z","-10.54896832","113.328125","3.713008073","MLv","18","31","229.8721771","South of Java, Indonesia","BMKG"
"16","bmg2023eihs","2023-03-03T11:07:48.409028Z","-10.77413464","113.2800598","4.343736042","M","10","19","240.393959","South of Java, Indonesia","BMKG"
"17","bmg2023eidb","2023-03-03T08:46:05.026119Z","-1.619774818","120.1350784","2.317711125","MLv","10","13","108.135498","Sulawesi, Indonesia","BMKG"
"18","bmg2023eicl","2023-03-03T08:28:25.95161Z","-4.770578861","134.0774078","4.705333376","MLv","20","37","80.88365936","West Papua Region, Indonesia","BMKG"
"19","bmg2023eibe","2023-03-03T07:49:55.924132Z","-3.850549936","119.5583572","2.279497911","MLv","16","18","177.0829773","Sulawesi, Indonesia","BMKG"
"20","bmg2023ehzq","2023-03-03T07:02:28.057767Z","-1.551510572","120.208107","4.533315797","MLv","10","61","62.25941467","Sulawesi, Indonesia","BMKG"
"21","bmg2023ehzj","2023-03-03T06:55:01.975318Z","-0.08243429661","126.6305847","3.120085826","MLv","26","17","92.19085312","Southern Molucca Sea","BMKG"
"22","bmg2023ehyj","2023-03-03T06:24:18.880337Z","-1.581349015","120.2310944","2.656997385","M","10","24","77.32058716","Sulawesi, Indonesia","BMKG"
"23","bmg2023ehya","2023-03-03T06:13:34.57133Z","-3.895697117","128.1988373","2.195806592","MLv","19","11","272.1218948","Seram, Indonesia","BMKG"
"24","bmg2023ehxj","2023-03-03T05:53:48.490364Z","-0.7848442793","125.1927261","3.826003622","MLv","22","33","83.13937378","Southern Molucca Sea","BMKG"
"25","bmg2023ehwo","2023-03-03T05:29:06.609843Z","-7.241056442","107.6003265","1.899054503","MLv","10","9","146.0744514","Java, Indonesia","BMKG"
"26","bmg2023ehvz","2023-03-03T05:12:34.466306Z","-9.778154373","121.9049911","2.602314825","MLv","10","14","66.69181824","Savu Sea","BMKG"
"27","bmg2023ehvf","2023-03-03T04:49:17.104096Z","-7.697968483","106.5689087","3.943264747","MLv","22","69","216.3456573","Java, Indonesia","BMKG"
"28","bmg2023ehut","2023-03-03T04:34:11.620352Z","-3.070324898","122.0610199","2.835343031","M","10","10","142.9885559","Sulawesi, Indonesia","BMKG"
"29","bmg2023ehsz","2023-03-03T03:41:18.079568Z","-5.706188679","103.5656281","3.46572062","M","22","23","172.0311356","Southern Sumatra, Indonesia","BMKG"
"30","bmg2023ehob","2023-03-03T01:12:00.841327Z","-6.380780697","103.8658218","3.882651197","MLv","13","35","195.472702","Southwest of Sumatra, Indonesia","BMKG"
"31","bmg2023ehoc","2023-03-03T01:11:45.63564Z","-0.2822760046","122.9861832","3.020404226","M","72","23","99.98916626","Minahassa Peninsula, Sulawesi","BMKG"
"32","bmg2023ehmx","2023-03-03T00:36:48.47574Z","-3.799638271","101.8110733","5.006627226","Mw(mB)","49","199","97.48594666","Southern Sumatra, Indonesia","BMKG"
"33","bmg2023ehiz","2023-03-02T22:38:22.103503Z","-9.816157341","119.0816574","2.76730796","MLv","24","18","212.9388885","Sumba Region, Indonesia","BMKG"
"34","bmg2023ehif","2023-03-02T22:14:47.785907Z","0.2687947154","121.7811432","2.593239159","MLv","189","22","87.67333603","Minahassa Peninsula, Sulawesi","BMKG"
"35","bmg2023ehib","2023-03-02T22:09:43.548734Z","-2.529956579","140.6806793","2.33981905","M","12","7","153.8951683","Near North Coast of West Papua","BMKG"
"36","bmg2023ehhm","2023-03-02T21:53:04.774278Z","2.446758747","126.8689728","3.505359343","M","30","20","107.2348404","Northern Molucca Sea","BMKG"
"37","bmg2023ehge","2023-03-02T21:13:19.75937Z","-3.377406836","128.3861084","3.919249745","MLv","10","38","119.1655502","Seram, Indonesia","BMKG"
"38","bmg2023ehfk","2023-03-02T20:49:26.733607Z","-2.852475405","121.5155029","1.346044346","MLv","11","7","171.1079559","Sulawesi, Indonesia","BMKG"
"39","bmg2023ehey","2023-03-02T20:35:19.985511Z","-0.9375209808","101.185524","2.427714004","MLv","150","11","157.9207916","Southern Sumatra, Indonesia","BMKG"
"40","bmg2023ehep","2023-03-02T20:25:10.854828Z","2.911515951","127.4194946","3.527695192","MLv","11","10","164.085083","Northern Molucca Sea","BMKG"
"41","bmg2023ehem","2023-03-02T20:22:01.379905Z","0.3270775974","125.7809753","4.267356337","MLv","10","64","62.22555923","Northern Molucca Sea","BMKG"
"42","bmg2023ehdy","2023-03-02T20:05:40.873749Z","-2.619784117","140.782486","1.89753059","M","10","7","223.890976","Near North Coast of West Papua","BMKG"
"43","bmg2023ehds","2023-03-02T19:58:01.336062Z","4.331021309","96.82750702","2.878974126","M","10","32","88.6381073","Northern Sumatra, Indonesia","BMKG"
"44","bmg2023ehdp","2023-03-02T19:54:54.044986Z","-9.77395153","119.0427475","2.713088536","MLv","14","28","206.0924988","Sumba Region, Indonesia","BMKG"
"45","bmg2023ehba","2023-03-02T18:36:59.198103Z","-1.917145133","99.40322113","4.190794071","MLv","18","70","188.689209","Southern Sumatra, Indonesia","BMKG"
"46","bmg2023egzz","2023-03-02T18:05:05.104264Z","0.3551662862","121.8965225","3.341348259","M","108","49","76.02192688","Minahassa Peninsula, Sulawesi","BMKG"
"47","bmg2023egrk","2023-03-02T13:45:14.16869Z","1.715445399","126.9633026","3.373122264","MLv","25","23","126.8378677","Northern Molucca Sea","BMKG"
"48","bmg2023egre","2023-03-02T13:38:20.480001Z","2.819271564","127.111145","4.472376753","M","30","37","138.3540039","Northern Molucca Sea","BMKG"
"49","bmg2023egra","2023-03-02T13:34:02.625707Z","-8.938702583","119.6833038","2.874958736","M","10","19","80.89818954","Flores Region, Indonesia","BMKG"
"50","bmg2023egqk","2023-03-02T13:14:54.0199Z","-7.713861465","106.6455383","2.874389319","M","15","21","226.652977","Java, Indonesia","BMKG"
"51","bmg2023egqb","2023-03-02T13:04:26.458553Z","-8.890151978","109.4041595","3.016552433","MLv","73","23","240.4891663","Java, Indonesia","BMKG"
"52","bmg2023egow","2023-03-02T12:28:27.563295Z","-2.321855068","140.149765","2.795111266","MLv","12","11","185.8508606","Near North Coast of West Papua","BMKG"
"53","bmg2023egoj","2023-03-02T12:12:55.716757Z","0.9633529186","121.1445999","2.639758959","MLv","29","24","124.4066925","Minahassa Peninsula, Sulawesi","BMKG"
"54","bmg2023egmi","2023-03-02T11:11:22.594932Z","-2.57929945","128.8580322","3.5170335","MLv","21","25","73.46483231","Ceram Sea","BMKG"
"55","bmg2023eghx","2023-03-02T08:56:43.928545Z","1.188138008","120.153038","4.767528052","M","10","50","157.7655563","Minahassa Peninsula, Sulawesi","BMKG"
"56","bmg2023eggv","2023-03-02T08:23:59.466855Z","2.42594552","128.3152466","4.561033112","M","39","40","167.4577866","Halmahera, Indonesia","BMKG"
"57","bmg2023egfz","2023-03-02T07:59:18.751306Z","-9.494055748","119.1683655","3.407428563","M","36","41","158.0385666","Sumba Region, Indonesia","BMKG"
"58","bmg2023egba","2023-03-02T05:28:21.071118Z","-2.254075527","120.9617462","3.192754522","M","10","29","72.72882462","Sulawesi, Indonesia","BMKG"
"59","bmg2023efzd","2023-03-02T04:31:32.441994Z","-2.240840673","120.9859085","3.342254206","M","10","32","77.45040131","Sulawesi, Indonesia","BMKG"
"60","bmg2023efym","2023-03-02T04:11:52.652421Z","1.834714174","127.0487595","4.083913707","MLv","57","29","83.51154327","Halmahera, Indonesia","BMKG"
"61","bmg2023efwr","2023-03-02T03:17:17.313234Z","-8.802247047","112.8573456","3.433489747","MLv","11","28","200.7357254","Java, Indonesia","BMKG"
